Faldo,White,1,448,4,7
Faldo,White,2,185,3,17
Faldo,White,3,349,4,11
Faldo,White,4,569,5,3
Faldo,White,5,367,4,9
Faldo,White,6,565,5,5
Faldo,White,7,212,3,13
Faldo,White,8,397,4,1
Faldo,White,9,383,4,15
Faldo,White,10,487,4,8
Faldo,White,11,144,3,16
Faldo,White,12,343,4,6
Faldo,White,13,646,5,2
Faldo,White,14,375,4,10
Faldo,White,15,363,4,14
Faldo,White,16,136,3,18
Faldo,White,17,407,4,4
Faldo,White,18,509,5,12
Faldo,Yellow,1,424,4,7
Faldo,Yellow,2,161,3,17
Faldo,Yellow,3,339,4,11
Faldo,Yellow,4,523,5,3
Faldo,Yellow,5,338,4,9
Faldo,Yellow,6,535,5,5
Faldo,Yellow,7,198,3,13
Faldo,Yellow,8,366,4,1
Faldo,Yellow,9,355,4,15
Faldo,Yellow,10,474,4,8
Faldo,Yellow,11,126,3,16
Faldo,Yellow,12,327,4,6
Faldo,Yellow,13,570,5,2
Faldo,Yellow,14,358,4,10
Faldo,Yellow,15,331,4,14
Faldo,Yellow,16,122,3,18
Faldo,Yellow,17,386,4,4
Faldo,Yellow,18,474,5,12
Oconnor,White,1,561,5,11
Oconnor,White,2,353,4,7
Oconnor,White,3,162,3,15
Oconnor,White,4,408,4,3
Oconnor,White,5,517,5,17
Oconnor,White,6,180,3,9
Oconnor,White,7,395,4,5
Oconnor,White,8,406,4,1
Oconnor,White,9,434,4,13
Oconnor,White,10,427,4,6
Oconnor,White,11,547,5,14
Oconnor,White,12,386,4,8
Oconnor,White,13,161,3,18
Oconnor,White,14,417,4,2
Oconnor,White,15,422,4,4
Oconnor,White,16,530,5,12
Oconnor,White,17,165,3,16
Oconnor,White,18,389,4,10
Oconnor,Yellow,1,544,5,11
Oconnor,Yellow,2,329,4,7
Oconnor,Yellow,3,152,3,15
Oconnor,Yellow,4,392,4,3
Oconnor,Yellow,5,499,5,17
Oconnor,Yellow,6,165,3,9
Oconnor,Yellow,7,378,4,5
Oconnor,Yellow,8,361,4,1
Oconnor,Yellow,9,417,4,13
Oconnor,Yellow,10,411,4,6
Oconnor,Yellow,11,516,5,14
Oconnor,Yellow,12,366,4,8
Oconnor,Yellow,13,144,3,18
Oconnor,Yellow,14,376,4,2
Oconnor,Yellow,15,394,4,4
Oconnor,Yellow,16,517,5,12
Oconnor,Yellow,17,164,3,16
Oconnor,Yellow,18,370,4,10
